項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
18,1,,あｎか゚い-てぃだん,,[aŋaitidaN], ,(名詞),30,,朝日。〈上がり太陽〉の意。,,,(語源)沖縄方言アガイ ティー ダ /(1)'agaitiida/ に対応。,[agariteNdau>aŋaiteNda>aŋaitida>aŋaitidaN],,,【例】あんか゚い-てぃだんどぅ うんか゚まりる,〈朝日ぞ拝める。転じて「勢いのある人についていく」〉,,,,,,,,,,,,,,,,,,,,
19,1,,あがｎか゚,,[agaŋa],,(名詞),30,,生まれて間もない赤ちゃん。,〔同〕いんか゚んか゚てぃ〔類〕んくてぃ(表情、反応が現れる頃の乳飲み子),,(語源)アカゴ〈赤子〉に対応。,[*akaga>agaŋa],,,【例】あがんか゚ あぬんき だがみり,〈赤ちゃんを私に抱かせて〉,,,,,,,,,,,,,,,,,,,,
20,1,,あがてぃるん,,[agaTir-],A,(動詞),30,,「あばてぃるん」とも。(1)慌てる。急ぐ。,,,,,,,【例】 あ が て ぃ る   ‘ と ぅ ん か゚ や   く まさる しかま ならぬん,〈気がせく人は細かい仕事ができない〉,,,,,,,,,,,,,,,,,,,,
20,2,例文なし,あがてぃるん,,[agaTir-],A,(動詞),30,,焦る。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,,あがとぅぶぎ,,[agaTubugi],A,(名詞),31,,早朝。,,,(語源)日本語アカツキ〈暁〉に対応。,,,,【例】あがとぅぶぎに うぎてぃ とぅんでぃ=ひゅる,〈早朝に起きて出ていった〉,うち ‘かぬんすや あがとぅぶぎがら うぎてぃ うち  んにんでぃ ひらぬとぅ ぬんにぬ どぅどぅ んでぃるんでぃ ばがらぬ ん,〈牛を飼うのは早朝に起きて牛の世話をしておかないと、どんな用事がで きるか分からない〉,,,,,,,,,,,,,,,,,,
22,1,,あがぶさ,,[agabusa],B,(名詞),31,,赤髪。頭髪などの赤いもの。,,,,,,,【例】あがぶさ あがみてぃ,〈赤毛の子供〉,,,,,,,,,,,,,,,,,,,,
23,1,,あがまみ,,[agamami],A,(名詞),31,〔植物〕,小豆(アズキ)。〈赤豆〉の意。,,,,,,,【例】あがまみぬ いー,〈小豆のご飯〉,,,,,,,,,,,,,,,,,,,,
24,1,,あがみ,1,[agami],C,(名詞),31,,子。子供。,,,,,,,【例】くぬ あがみや あらーぐ はばぐんでゃ。 まいふな あ がみど,〈この子供はとても物事を積極的にやる、おりこうな子供よ〉,あん び=あがみどぅ あんか゚、だーんき すい=し ‘かない=ぶる,〈遊び相手と の間に出来た子供だが、家に連れてきて養っている〉(関連用語)びんがあが み,〈男の子〉,みぬんか゚あがみ,〈女の子〉, ‘かないあがみ,〈養い子〉,,,,,,,,,,,,,
25,1,,あがみ,2,[agami],A,(動名詞),31,,赤いこと。,,,,,,,【例】‘とぅはんか=きー ちら あがみ=ぶたん,〈恥ずかしがって、顔が赤くなっていた〉,,,,,,,,,,,,,,,,,,,,
26,1,,あがみてぃ,,[agamiTi],B,(名詞),31,,子供。幼子。赤ちゃんから十歳ごろまでの子供を指す。「あがみ」に指小辞「~てぃ」が付いた形。,,,,,,,【例】 あ が み て ぃ ぬ   み ん ぶ る   な で ぃ り ゃ   し ゃ な=きー とぅぐとぅ なるん,〈子供の頭をなでると喜んでおとなしくなる〉, ちー=はなり=でぃぶんぬ あがみてぃ,〈離乳期の子供〉,うや ぶらぬ  あがみてぃ,〈親のいない幼子〉,,,,,,,,,,,,,,,,
27,1,,あがや,,[agaya],C,(名詞),31,,二枚貝の総称。,〔類〕んだ。んぶ。,,(語源)日 本語カイ〈貝〉に対応するか。,[kai>a-kai-a>agaya],,,【例】 あ が や ぬ   な が に や   ぎ ら ん か゚ ど ぅ   いってぃん まいさる,〈二枚貝の中ではシャコガイが一番大きい〉,,,,,,,,,,,,,,,,,,,,
28,1,,あｎか゚らし=はぐ,,[aŋarasi+hagu], ,(名詞),32,,蒸し箱(むしばこ)。,,,,,,,【例】うみ ある あんか゚らし=はぐ ‘かいてぃ あんがらしむぬ ‘くい=とぅらい,〈ここにある蒸し箱を使って蒸し菓子を作ってください〉,,,,,,,,,,,,,,,,,,,,
29,1,,あがらん,,[agaras-],A,(動詞),32,,明るくする。,,,,,,,【例】だどぅ あぎてぃ はやぐ だー あがらい,〈戸を開けて早く家を明るくしなさい〉,,,,,,,,,,,,,,,,,,,,
30,1,,あがり,,[agari],,(名詞),32,,破片。かけら。,,,(語源)日本語アカレ〈散れ〉に対応。,[akare>agari],,,【例】はー あたる さばん ばいつぁし。 はやぐ あがり  あちみり,〈あー、大事な茶碗を割ってしまって。早くかけらを集めなさい〉,,,,,,,,,,,,,,,,,,,,
31,1,,あがるん,,[agar-],A,(動詞),32,,明るくなる。,,,(語源)古語アカル〈明る〉に対応。,[akar- >agar-],,,【例】どぅさいや うぶたくゆ あいてぃ あがいつま ない,〈今夜は満月で真昼のように明るい〉,,,,,,,,,,,,,,,,,,,,
32,1,,あｎか゚るん,,[aŋar-],A,(動詞),32,,太陽、月などが空高く現れる。,,,(語源)日本語アガル〈上がる〉に対応。,[agar- >aŋar-],,,【例】あんか゚いぬ てぃんがら ‘くゆ あん か゚ん,〈東の空から月が昇った〉,,,,,,,,,,,,,,,,,,,,
33,1,,あがんたい,,[agaNTai],A,(動名詞),32,,とても赤いこと。真っ赤なこと。,,,,,,,【例】くんどぅぐり ちら あがんたい,〈怒って顔が真っ赤だ〉,,,,,,,,,,,,,,,,,,,,
34,1,,あｎき゚,,[aŋi],A,(名詞),32,,陸。陸地。「いん」、「うんなが」〈海〉に対していう。,,,(語源)沖縄方言アギ /(1)agi/ に対応。,[age>aŋi],,,【例】あんき゚ぬ しかまどぅ  きり,〈陸の仕事をしなさい〉,,,,,,,,,,,,,,,,,,,,
35,1,,あぎだん,,[agidaN],C,(名詞),32,〔虫〕,トンボ。,,,(語源)古語 アキヅ〈蜻蛉〉に対応。,[*akezu-a-N>agezaN>agidaN],,,【例】 ひ か で ぃ い り   し だ さ ぐ   な い   あ ぎ だ ん   と ぅ び=あいぐんすや,〈秋になって涼しくなって、トンボも飛び交っている〉,,,,,,,,,,,,,,,,,,,,
36,1,,あ-きむ-き,,[akimuki], ,(名詞),33,,他人の身の上や心情に心を配ること。また、その気持ち。,,,,,,,【例】 か り や   あ-きむ-き ばがらぬん,〈彼は相手の気持ちが分からない〉,,,,,,,,,,,,,,,,,,,,
37,1,,あぎるん,,[agir-],A,(動詞),33,,〔他〕(~を)開ける。開く。,,,(語源)日本語アケル〈開ける〉に対応。,[ake->age(r)->agir-],,,【例】あっつぁるゆんがら だどぅ あぎり,〈暑いから窓を開けろ〉,すむてぃ あぎるん,〈書物を開く〉,だどぅ あぎるん,〈雨戸を開ける〉,,,,,,,,,,,,,,,,
38,1,,あｎき゚るん,,[aŋir-],A,(動詞),33,,上げる。,,,(語源)日本語アゲル〈上げる〉に対応。,[age->aŋe(r)->aŋir-],,,【例】にー たなんき あんき゚るん,〈荷を棚に上げる〉,,,,,,,,,,,,,,,,,,,,
39,1,,あｎく゚,,[aŋu],C,(名詞),33,,仲間。同僚。,〔同〕どぅち,,(語源)奄美(与論)方言アグ /agu/ に対応。,,,,【例】かりや あんか゚ あんく゚どぅ ない=ぶる,〈彼は私の(同じムラの)仲間です〉,,,,,,,,,,,,,,,,,,,,
40,1,,あぐい,,[agui],A,(名詞),33,,欠伸(あくび)。「あぐ」とも。,,,,,,,【例】ぬー きびかや あぐい=ばがい きるんすや,〈どうしてだろう、欠伸ばかりするね〉,あぐ きー ならぬんでぃやー ,〈欠伸がとまらない〉,,,,,,,,,,,,,,,,,,
41,1,,あぐ=きー,,[agu+ki], ,(名詞),33,〔植物〕,アコウ。,,,,,,,【例】 あ ぐ=き や   ち っ て ぃ   つ ぁ ら ば   み ん ぐ る   む い =だっつぁん,〈アコウの木は切って腐らせると、キクラゲが生えやすい〉,,,,,,,,,,,,,,,,,,,,
42,1,,あさ,1,[asa],A,(名詞),33,〔植物〕,アオサ。海藻の一種。海岸の岩に生える。食用になる。「あーさ」とも。,,,(語源)日本語アオサ〈石蓴〉に対応。,[*awasa>a'asa>asa],,,【例】あーさや はいりし むんない きてぃ あらぐ まん,〈アオサは酢で和え物にするととてもおいしい〉,むらにや アブヒティに からあさ まんでぃ=ぶたる。 あらいてぃ うんてぃはいり、すゆ、かちだい いりてぃ、 さばぬ かんずめんた まんでぃてぃ まんすゆ,〈祖納ではアブヒティで乾 いたアオサが多く採れた。洗って芋酢、醤油、酒粕で和え、サバの缶詰などを 混ぜるとおいしいよ〉,,,,,,,,,,,,,,,,,,
43,1,,あさ,2,[asa], ,(名詞),33,,(1)祖父(そふ)。おじいさん。両親の父親。,,,,,,,【例】ばやぬ あさや とぅぐとぅ ぬ ‘とぅどぅ あい=わたる,〈我が家のおじいさんは物静かな人であった〉,あさー どぅなん-くとぅば しっぱい ならし=ひりよ,〈おじいちゃん、 与那国方言いっぱい教えてくださいね〉,,,,,,,,,,,,,,,,,,
43,2,,あさ,2,[asa], ,(名詞),33,,おじいさん。年配の男性。(文化的・民俗学的背景)前楚家のおじいさんは百三歳で亡くなった。,,,,,,,【例】 マドゥ ヤぬ あさや ひゃぐ あまるた ぬてぃ なーる ‘とぅどぅ あ い=わたんでぃ んどぅんさい,〈前楚家のおじいさんは百歳を超えるほど長命な人でいらっしゃったそうだよ〉,,,,,,,,,,,,,,,,,,,,
44,1,,あさ=いとぅ,,[asa'iTu], ,(名詞),34,,麻糸(あさいと)。,,,,,,,【例】あさ=いとぅ うみ,〈麻糸を紡ぐ〉,,,,,,,,,,,,,,,,,,,,
45,1,,あさｎき゚,,[asaŋi],,(名詞),34,,番所。昔の役場。,,,,,,,【例】 ど ぅ ー 、 ふ ー=む ぬ や   み ぬ た ん て ぃ ん   あ さ ん き゚ んきぬ んだしまいや ばちんなよ,〈いいか、食べる物はなくても、役場へ納めるものを忘れてはいけないよ〉,,,,,,,,,,,,,,,,,,,,
46,1,,あさってぃ,,[asaTi],C,(名詞),34,,「あさてぃ」とも。明日の次の日。明後日(あさって)。翌々日(よくよくじつ)。,,,(語源)日本語アサッ テ〈明後日〉に対応。,[asate>asaTe>asaTi],,,【例】あさてぃぬ どぅるばぎんし いし=うとぅぎ,〈明後日の晩までにやっておけ〉,んだや あさってぃ くーよ,〈君は明後日おいでね〉,,,,,,,,,,,,,,,,,,
47,1,,あさん,,[asaN],A,(形容詞),34,,浅い。,,,(語源)日本語アサイ 〈浅い〉に対応。,[asasaN>asahaN>asaN],,,【例】うまや あさたてぃどぅ=ぶんがら あがみてぃんたんか゚ん うんか゚りるん,〈ここはとても浅いので子供たちでも泳げる〉,,,,,,,,,,,,,,,,,,,,
48,1,,あし,,[asi],B,(名詞),34,,汗(あせ)。,,,(語源)日本語アセ〈汗〉に対 応。,[ase>asi],,,【例】あし かてぃたや みんや とぅらぬとぅ ならぬんどー,〈汗をかいたら、水分は取らないといけないよ〉,,,,,,,,,,,,,,,,,,,,
49,1,,あしくん,,[asiKa-],A,(動詞),34,,「あっくん」とも。ひどく叱る。どやしつける。,,,(語源)日本語アツカウ〈扱う〉に対応。,[atukaw->acika'- >asiKa-],,,【例】いっちん あしかりどぅ= ぶる,〈いつも叱られている〉,うんにたる ‘とぅー あしく=むぬや,〈そ んなに人を叱るとは〉,,,,,,,,,,,,,,,,,,
50,1,,あしぶ,,[asibu],C,(名詞),35,,(1)汗疹(あせも)。,,,,,,,【例】なち ないんか゚しや あがみてぃんた あしぶ はい つぁり=ぶたんえ,〈夏になると子供たちに汗疹がたくさん出来ていたね〉,,,,,,,,,,,,,,,,,,,,
50,2,例文なし,あしぶ,,[asibu],C,(名詞),35,,腫れ物。,,,(語源)日本語アセモ〈汗疹〉に対応。,[*asebo>asibu],,,,,,,,,,,,,,,,,,,,,,,,
51,1,,あた,,[aTa],C,(名詞),35,,明日。「あった」とも。,,,(語源)日本語アシタ〈明日〉に対応。,[asita>asiTa>aTa],,,【例】かぬとぅや さぎぬみゃどぅ あるゆんがら、あ たん また さぎ ぬむんてぃら,〈あの人は酒飲みだから、明日もまた酒を飲むだろう〉,,,,,,,,,,,,,,,,,,,,
52,1,,あだ,,[ada],A,(名詞),35,,ほくろ。痣(あざ)。,,,(語源)日本語アザ〈痣〉に対応。,[aza>ada],,,【例】うぬ あがみてぃ ばたに あがあだ あんすや,〈この子、お腹に赤痣があるね〉,うとぅんか゚いに ある あだや はいだま  あだんでぃどぅ んだり=ぶたる,〈あごにあるほくろは食いしん坊のしるし といわれていた〉,みんたふぬ すばに あだ ある ‘とぅや うやぎ=きるんでぃどぅ んどぅ,〈耳の近くにほくろがある人は富貴になるという〉,,,,,,,,,,,,,,,,
53,1,,あたｎか゚つぁ,,[aTaŋaCa],B,(名詞),35,,要領。,,,,,,,【例】ひらんき みんぶる とぅんかし あぶたに あたんか゚つぁ みぬ=むぬんでぃ むたかり,〈柱に頭をぶつけ母に要領のない奴と怒られた〉あだぎさん[adagisaN](形容詞)清潔である。小奇麗にしている人を形容する。,【例】うぬとぅや あだぎさ  わるんすやえ,〈この方は小奇麗でいらっしゃるね〉,すでぃ きたば だー  あだぎさ ない あびゃんすや,〈掃除したので座敷がさっぱりしてきれいな ことよ〉,,,,,,,,,,,,,,,,
54,1,,あだぎるん,,[adagir-],,(動詞),35,,開墾する。伐採する。,,,,,,,【例】ありち あだぎるんにぬ あはりや みぬん,〈荒れ地を開墾するほどの難儀はない〉,あまだはたぎ あむてぃ かんでぃどぅ=ぶんす あだぎらぬとぅ ならぬん,〈サトウキビ畑の雑草が生い茂っているので、伐採しないといけない〉,,,,,,,,,,,,,,,,,,
55,1,,あたぐ,,[aTagu],C,(名詞),36,〔鳥〕,鵜(ウ)。冬に見られる。,,,(語源)沖縄(伊江 島)方言アッ タフ /'atta]Fu/ に対応。,[atakua>atago>aTagu],,,【例】どぅなんき くー あたぐ さがぐ ない どぅ=ぶんか゚えー,〈与那国に来る鵜が少なくなっているね〉,,,,,,,,,,,,,,,,,,,,
56,1,,あたくい,,[aTaKui],,(名詞),36,,屋敷内にある菜園。,〔同〕かぐ,,,,,,【例】あたくいに ださい びーどぅ ありゃ  とぅい はい,〈菜園に野菜を植えてあるので取って食べなさい〉,あたく いに くしてぃー ちーまいどぅ ぶりゃ とぅい うやい,〈菜園にクシ ティーがたくさんあるので取ってお食べください〉,,,,,,,,,,,,,,,,,,
57,1,,あた=さてぃ,,[aTa+saTi], C+C,(名詞),36,,明日明後日。近いうちに。「あた」と「あさてぃ」が縮まった形。,,,,,,,【例】あたさ てぃ まい=しーどぅ きーんだんぎ あるんでゃー,〈明日明後日にも亡くなりそうなんですよ〉,,,,,,,,,,,,,,,,,,,,
58,1,,あた=‘とぅむてぃ,,[aTa+TumuTi], C+C,(名詞),36,,明朝(みょうちょう)。次の日の朝。「あった=‘とぅむてぃ」とも。,,,,,,,【例】 た ー び いすがさる=ゆんがら あった=‘とぅむてぃや はやぐ うぎりよ,〈田植えが忙しいんだから、明日の朝は早く起きなさいよ〉,,,,,,,,,,,,,,,,,,,,
59,1,,あたにんでぃ,,[aTaniNdi],,(名詞),36,,うたた寝。知らないうちに寝ること。「あったにんでぃ」とも。,,,,,,,【例】あたにん でぃ きー うぐり=ぶんかし,〈うたた寝をして遅れてしまった〉,すんく゚ てぃどぅ どぅみ=ぶたんか゚どぅ あたにんでぃ きー ‘たー にんでぃ,〈本を読んでいたのに、うたた寝してそのまま寝てしまった〉,,,,,,,,,,,,,,,,,,
60,1,,あだぬ,,[adanu],C,(名詞),36,〔植物〕,アダン。,,,,,,,【例】ふがばらぬ はたぎぬ わーらんでぃ あだぬどぅ  びー=ぶたる,〈外原の畑の防風林としてアダンを植えていた〉,,,,,,,,,,,,,,,,,,,,
61,1,,あたびた,,[aTabiTa],B,(名詞),36,,蛙(カエル)。「あたひた」とも。,〔同〕あうだ,,,,,,【例】あたびたんか゚ なてぃ=ぶんすや、あみ ふるでぃかや,〈カエルが鳴いているね、雨でも降るのかな〉,,,,,,,,,,,,,,,,,,,,
62,1,,あたら-きるん,,[aTarakir-],A,(動詞),37,,(1)大切にする。大事にする。,,,,,,,【例】はぶでぃがら うぎゃる でぃながや あ たら-きり,〈先祖から譲り受けた土地は大切にしなさい〉,,,,,,,,,,,,,,,,,,,,
62,2,,あたら-きるん,,[aTarakir-],A,(動詞),37,,可愛がる。,,,(語源)日本語アタラ〈惜しい〉に対応。,,,,【例】 すとぅぬ だんき ひたや あたら-きらりる=くとぅど,〈婚家に行ったら可愛がられなさいね〉,とぅんや あたら-きり,〈妻は大事にしなさい〉,,,,,,,,,,,,,,,,,,
